Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Chassis,9.85359198453595E-05,-0.016463414418635,-1.61805565512309E-16,0,0,0,161.904412309527,22.6226623674723,-0.00106031744847904,1.94916551280363E-15,63.2906242505968,1.17745429693053E-15,41.2716349546351,0,0,0,0,0,0,package://Car_1/meshes/Chassis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Car_1/meshes/Chassis.STL,,Part1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_Wheel,0,0,0.378081044321113,0,0,0,16.4704899135177,0.170899521278999,0,-3.38657707334201E-18,0.170899521278999,-5.98392577789642E-19,0.173579729077305,0,0,0,0,0,0,package://Car_1/meshes/FL_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Car_1/meshes/FL_Wheel.STL,,Part2-4,Origin_FLW_Chassis,Axis_FLW_Chassis,FLW_Chassis,revolute,-0.6,0.35,-0.025,1.5708,0.39309,-3.1416,Chassis,0,0,1,0,0,0,0,,,,,,,,
FR_Wheel,0,-3.46944695195361E-18,0.378081044321113,0,0,0,16.4704899135177,0.170899521278999,-1.17094433004118E-34,-3.84287660115048E-18,0.170899521278999,-1.03780467368306E-34,0.173579729077305,0,0,0,0,0,0,package://Car_1/meshes/FR_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Car_1/meshes/FR_Wheel.STL,,Part2-3,Origin_FRW_Chassis,Axis_FRW_Chassis,FRW_Chassis,revolute,-0.6,-0.35,-0.025,1.5708,0,0,Chassis,0,0,1,0,0,0,0,,,,,,,,
RL_Wheel,0,0,0.378081044321113,0,0,0,16.4704899135177,0.170899521278999,0,-3.38657707334201E-18,0.170899521278999,-5.98392577789642E-19,0.173579729077305,0,0,0,0,0,0,package://Car_1/meshes/RL_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Car_1/meshes/RL_Wheel.STL,,Part2-2,Origin_RLW_Chassis,Axis_RLW_Chassis,RLW_Chassis,revolute,0.6,0.35,-0.025,1.5708,0.39309,-3.1416,Chassis,0,0,1,0,0,0,0,,,,,,,,
RR_Wheel,0,-3.46944695195361E-18,0.378081044321113,0,0,0,16.4704899135177,0.170899521278999,-1.17094433004118E-34,-3.84287660115048E-18,0.170899521278999,-1.03780467368306E-34,0.173579729077305,0,0,0,0,0,0,package://Car_1/meshes/RR_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Car_1/meshes/RR_Wheel.STL,,Part2-1,Origin_RRW_Chassis,Axis_RRW_Chassis,RRW_Chassis,revolute,0.6,-0.35,-0.025,1.5708,0,0,Chassis,0,0,1,0,0,0,0,,,,,,,,
Arm_Base,0,0.152976096204713,1.50309365625096E-18,0,0,0,3.25348441268186,0.0195880123660322,2.51212011347482E-19,1.81752260093214E-17,0.0075081587745099,4.21274880646901E-19,0.0192954745601843,0,0,0,0,0,0,package://Car_1/meshes/Arm_Base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Car_1/meshes/Arm_Base.STL,,Arm_Base-1,Origin_AB_Chassis,Axis_AB_Chassis,AB_Chassis,revolute,-0.65,0,0.025,1.5708,0,0,Chassis,0,1,0,0,0,0,0,,,,,,,,
Bicep,-1.11022302462516E-16,0.205,4.03161623391747E-08,0,0,0,5.01050096511363,0.0709872630145202,-6.28898095202147E-08,3.96116733721931E-19,0.0149239034213916,-2.34671088771049E-18,0.0636472439734091,0,0,0,0,0,0,package://Car_1/meshes/Bicep.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Car_1/meshes/Bicep.STL,,Bicep-1,Origin_Bicep_AB,Axis_Bicep_AB,Bicep_AB,revolute,0,0.25,0,0,0,0,Arm_Base,0,0,1,0,0,0,0,,,,,,,,
Bottom_Wrist,-5.76005539931757E-08,0.104723859303367,6.29756783574483E-05,0,0,0,3.06244303749571,0.0242070590575506,3.29905354266355E-08,-1.66452981213341E-09,0.00557103438969488,-5.93643774158451E-06,0.0236179659392289,0,0,0,0,0,0,package://Car_1/meshes/Bottom_Wrist.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Car_1/meshes/Bottom_Wrist.STL,,Wrist-2,Origin_BW_Bicep,Axis_BW_Bicep,BW_Bicep,revolute,0,0.41,0,0,0,0,Bicep,0,0,1,0,0,0,0,,,,,,,,
Elbow,1.0222248303382E-07,0.260839568533626,-6.72505269797146E-10,0,0,0,4.78140114383765,0.0576162597068767,-3.90344857447567E-08,1.91474307365374E-09,0.0134139330355465,-9.38952159160228E-12,0.0516557926060428,0,0,0,0,0,0,package://Car_1/meshes/Elbow.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Car_1/meshes/Elbow.STL,,Elbow-1,Origin_Elbow_BW,Axis_Elbow_BW,Elbow_BW,revolute,0,0.15,0,0,0,0,Bottom_Wrist,0,1,0,0,0,0,0,,,,,,,,
Top_Wrist,-5.76005539931757E-08,0.104723859303367,6.29756783574647E-05,0,0,0,3.06244303749571,0.0242070590575507,3.29905354340545E-08,-1.66452981111517E-09,0.00557103438969488,-5.9364377415831E-06,0.023617965939229,0,0,0,0,0,0,package://Car_1/meshes/Top_Wrist.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Car_1/meshes/Top_Wrist.STL,,Wrist-1,Origin_TW_Elbow,Axis_TW_Elbow,TW_Elbow,revolute,0,0.455,0,0,0,0,Elbow,0,0,1,0,0,0,0,,,,,,,,
